"AirCrash","Concatenation",
"GameOver","Building Blox",
"Deluxe","Team Brainfart",
"TheJackHammers","Block Glitch",
"Entity","BloodyLions",
"ProtectionX","Assassin's Soul",
"The Unloved Miners","FlamingFrost",
"Nemesis","Bone Breakers",
"Open Islanders","Afternoon Tea",
"Looting III","Stained Glass",
"Sexy Squad","PureBlocks",
"SquadCat","Virus",
"TheRaptors","SentsFromHeaven",
"LogisticGamers","Cloud City",
"Storm","Eclipse",
"Outliers","Team CacaFuego",
"VortexRush","Fracture",
"LastFist","Ninja Squad",
"Game Mode 1","Punishers",
"Ambush","Bacon Warriors",
"Wolves In Quebec","Ender Fox",
"Turquaars","Tactical Info",
"Impact","Mindcool",
"Instant Crash","Drifters",
"LunGGlove","Jaeger",
"Vindicate","Blaze Face",
"Space Monkey Mafia","Pony Swag",
"Proximity","Dynasty",
"Starfish","Orbit",
"Team Fishy","Team Grief",
"Padlock","-",
"PentaKillers","-"
